CommitID, Committer, FilesChanged, LinesChanges, LinesAdded, LinesDeleted
0adf016a7c1786b5b82513cd30d449c6a3d63554, rahul-chekuri, 1, 2, 2, 0
17920512031ce6c71f5e8bfd1733d24add108ae2, vivek, 1, 5, 3, 2
2e7c414a6ae3bed062977e6730dd3933454c9eb7, sriharshakancharla, 1, 0, 0, 0
36d8cba0861e3b108e81db8b189296c680d7125d, yugaa22, 7, 286, 237, 49
3cd808befb0cf23b3264dbd2800be420d3a84f1e, sriharshakancharla, 1, 2, 1, 1
5069f48787dcaceb0307981ed33c2675106dd2b7, Ravikumar Hawaldar, 6, 198, 198, 0
5c9d98796036f0607397d1d7cc896c32cc884684, sriharshakancharla, 1, 2, 1, 1
72d24d3cf7af5f4c68eccc028d1d33fce9b8179b, yugaa22, 1, 1, 0, 1
a1762016977796c7de9af69fddc12040849829cc, ramya, 1, 68, 2, 66
ab0e6051519d3b4c2e2b86c9c98ce12b9b47d2f1, sriharshakancharla, 1, 8, 4, 4
aec909ec127cb777643f9b00b2de19df94eac9af, yugaa22, 2, 208, 0, 208
b766a1cc0a4aa6edbc520245674ea581436f5a90, Ravikumar Hawaldar, 6, 198, 0, 198
bb8d819e6820aa9112b267203a6bec94faaac1d8, yugaa22, 1, 69, 44, 25
beab591acc5c13c90b286dff45abf2a52d6fff4d, Pranav-b-7, 6, 336, 193, 143
c7604cacf7efabe0abd0efb79f6bc5655212ed26, Pranav-b-7, 6, 336, 193, 143
e7de401c2225a946d25fa10001dcc63269165b6f, yugaa22, 1, 2, 2, 0
fe1baef760d26123c483441e9062ac6fd8e31406, vivek, 1, 1, 0, 1
