repoName, PRAuthor , RepoURL , PRURL , JiraURL
Analytics, dependabot , OpsMx/Analytics , OpsMx/Analytics/pull/4216 , Nan
Analytics, dependabot , OpsMx/Analytics , OpsMx/Analytics/pull/4409 , Nan
Analytics, TejaswiniOpsmx , OpsMx/Analytics , OpsMx/Analytics/pull/4422 , https://devopsmx.atlassian.net/browse/OP-11633
Analytics, karunakar960 , OpsMx/Analytics , OpsMx/Analytics/pull/4424 , https://devopsmx.atlassian.net/browse/OP-0000
Analytics, karunakar960 , OpsMx/Analytics , OpsMx/Analytics/pull/4425 , https://devopsmx.atlassian.net/browse/OP-000
Analytics, rsh09 , OpsMx/Analytics , OpsMx/Analytics/pull/4426 , https://devopsmx.atlassian.net/browse/OP-11661
Analytics, karunakar960 , OpsMx/Analytics , OpsMx/Analytics/pull/4427 , https://devopsmx.atlassian.net/browse/OP-0000
Analytics, SheetalAtre , OpsMx/Analytics , OpsMx/Analytics/pull/4428 , https://devopsmx.atlassian.net/browse/OP-7628
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/781 , https://devopsmx.atlassian.net/browse/OP-11227
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/782 , https://devopsmx.atlassian.net/browse/OP-11724
oes-api, karunakar960 , OpsMx/oes-api , OpsMx/oes-api/pull/783 , https://devopsmx.atlassian.net/browse/OP-000
oes-api, Pranav-b-7 , OpsMx/oes-api , OpsMx/oes-api/pull/784 , https://devopsmx.atlassian.net/browse/OP-11656
oes-api, Pranav-b-7 , OpsMx/oes-api , OpsMx/oes-api/pull/785 , https://devopsmx.atlassian.net/browse/OP-11656
oes-api, rsh09 , OpsMx/oes-api , OpsMx/oes-api/pull/786 , https://devopsmx.atlassian.net/browse/OP-11661
oes-api, karunakar960 , OpsMx/oes-api , OpsMx/oes-api/pull/787 , https://devopsmx.atlassian.net/browse/OP-000
oes-api, arunkumaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/788 , https://devopsmx.atlassian.net/browse/OP-10749
oes-api, sriharshakancharla , OpsMx/oes-api , OpsMx/oes-api/pull/789 , https://devopsmx.atlassian.net/browse/OP-11044
oes-api, Pranav-b-7 , OpsMx/oes-api , OpsMx/oes-api/pull/790 , https://devopsmx.atlassian.net/browse/OP-11771
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/791 , https://devopsmx.atlassian.net/browse/OP-11015
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/792 , https://devopsmx.atlassian.net/browse/OP-11015
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/793 , https://devopsmx.atlassian.net/browse/OP-11015
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/794 , https://devopsmx.atlassian.net/browse/OP-11513
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/795 , https://devopsmx.atlassian.net/browse/OP-11513
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/796 , https://devopsmx.atlassian.net/browse/OP-11513
oes-api, karunakar960 , OpsMx/oes-api , OpsMx/oes-api/pull/797 , https://devopsmx.atlassian.net/browse/OP-0000
oes-api, sudhakaropsmx , OpsMx/oes-api , OpsMx/oes-api/pull/798 , https://devopsmx.atlassian.net/browse/OP-11513
