IssueKey,UpdatedOn,HoursSinceLastUpdate
OP-11561,2022-01-17T12:31:07.417+0530,68
OP-11560,2022-01-05T13:03:46.161+0530,356
OP-11559,2022-01-05T13:03:17.343+0530,356
OP-11558,2022-01-05T13:02:06.302+0530,356
OP-11557,2022-01-05T14:09:55.529+0530,355
OP-11556,2022-01-05T13:00:47.702+0530,356
OP-11555,2022-01-05T13:19:49.725+0530,355
OP-11553,2022-01-17T12:31:13.409+0530,68
OP-11541,2022-01-18T18:14:51.190+0530,38
OP-11822,2022-01-18T09:31:17.540+0530,47
OP-11821,2022-01-18T09:31:12.349+0530,47
OP-11820,2022-01-18T09:31:06.309+0530,47
OP-11819,2022-01-18T09:31:01.128+0530,47
OP-11818,2022-01-18T09:30:55.885+0530,47
OP-11817,2022-01-18T09:30:48.524+0530,47
OP-11816,2022-01-18T09:30:43.570+0530,47
OP-11815,2022-01-18T09:30:38.660+0530,47
OP-11814,2022-01-18T09:30:33.131+0530,47
OP-11813,2022-01-18T09:30:27.533+0530,47
OP-11812,2022-01-18T12:31:57.247+0530,44
OP-11811,2022-01-18T09:29:37.487+0530,47
OP-11810,2022-01-18T09:29:31.342+0530,47
OP-11808,2022-01-18T09:29:25.315+0530,47
OP-11806,2022-01-17T18:56:49.676+0530,62
OP-11804,2022-01-19T18:26:47.512+0530,14
OP-11672,2022-01-18T09:29:07.935+0530,47
OP-11895,2022-01-19T17:20:06.322+0530,15
OP-11776,2022-01-18T17:47:27.437+0530,39
OP-11775,2022-01-18T17:47:27.881+0530,39
OP-11774,2022-01-18T17:47:26.074+0530,39
OP-11773,2022-01-18T17:47:26.367+0530,39
OP-11772,2022-01-18T17:47:29.938+0530,39
OP-11661,2022-01-18T17:47:28.999+0530,39
OP-11634,2022-01-17T14:26:48.840+0530,66
OP-11632,2022-01-19T17:19:13.250+0530,15
OP-11480,2022-01-06T17:06:24.199+0530,328
OP-11454,2021-12-30T20:32:05.652+0530,492
OP-11316,2022-01-18T17:47:17.348+0530,39
OP-11202,2021-12-28T18:44:42.487+0530,542
OP-11198,2022-01-18T17:47:17.774+0530,39
OP-11534,2022-01-07T08:41:28.859+0530,312
OP-11438,2022-01-04T17:50:36.732+0530,375
OP-11436,2022-01-06T10:17:04.291+0530,334
OP-11299,2022-01-11T10:33:50.948+0530,214
OP-11298,2022-01-03T10:06:56.051+0530,407
OP-11297,2022-01-10T09:16:34.010+0530,239
OP-11295,2022-01-11T10:33:23.149+0530,214
OP-11294,2022-01-04T17:51:16.945+0530,375
OP-11293,2022-01-04T08:30:55.824+0530,384
OP-11766,2022-01-18T17:47:31.640+0530,39
OP-11749,2022-01-18T17:47:25.464+0530,39
OP-11746,2022-01-13T00:53:03.196+0530,176
OP-11655,2022-01-13T00:51:35.893+0530,176
OP-11654,2022-01-11T21:30:39.536+0530,203
OP-11653,2022-01-11T21:30:01.381+0530,203
OP-11646,2022-01-10T11:02:04.052+0530,238
OP-11360,2022-01-10T11:16:55.940+0530,237
OP-11224,2022-01-10T11:15:36.426+0530,237
OP-11223,2022-01-10T11:13:38.779+0530,238
OP-11222,2022-01-10T12:09:56.990+0530,237
OP-11221,2022-01-10T11:10:12.390+0530,238
OP-11220,2022-01-18T19:50:57.958+0530,37
OP-11218,2022-01-18T18:17:55.489+0530,38
OP-11216,2022-01-18T19:50:58.350+0530,37
OP-11215,2022-01-10T11:08:18.592+0530,238
OP-11214,2022-01-10T11:04:15.760+0530,238
OP-11212,2022-01-10T11:02:16.332+0530,238
OP-11848,2022-01-19T08:50:43.923+0530,24
OP-11847,2022-01-19T08:45:44.595+0530,24
OP-11846,2022-01-19T08:42:51.305+0530,24
OP-11826,2022-01-19T08:39:10.280+0530,24
OP-11823,2022-01-18T08:36:13.694+0530,48
OP-11807,2022-01-17T18:00:30.832+0530,63
OP-11805,2022-01-17T17:58:30.991+0530,63
OP-11803,2022-01-17T18:00:02.937+0530,63
OP-11802,2022-01-17T17:55:35.999+0530,63
OP-11801,2022-01-17T17:53:21.289+0530,63
OP-11794,2022-01-19T08:44:15.535+0530,24
OP-11793,2022-01-17T17:02:14.168+0530,64
OP-11790,2022-01-17T11:31:48.052+0530,69
OP-11789,2022-01-19T08:44:34.060+0530,24
OP-11768,2022-01-18T16:34:40.465+0530,40
OP-11767,2022-01-18T16:33:55.372+0530,40
OP-11761,2022-01-18T08:06:40.657+0530,49
OP-11757,2022-01-17T11:25:45.984+0530,69
OP-11674,2022-01-11T15:50:38.900+0530,209
OP-11673,2022-01-11T15:49:41.056+0530,209
OP-11666,2022-01-11T16:57:54.449+0530,208
OP-11623,2022-01-18T16:33:42.826+0530,40
OP-11622,2022-01-11T10:36:43.962+0530,214
OP-11621,2022-01-10T09:21:31.588+0530,239
OP-11607,2022-01-11T10:37:49.340+0530,214
OP-11576,2022-01-07T08:43:05.004+0530,312
OP-11569,2022-01-11T10:37:52.472+0530,214
OP-11542,2022-01-11T10:36:30.226+0530,214
OP-11537,2022-01-11T15:49:58.533+0530,209
OP-11536,2022-01-04T17:55:42.724+0530,375
OP-11481,2022-01-04T17:51:52.717+0530,375
OP-11401,2022-01-11T16:45:23.620+0530,208
OP-11228,2021-12-28T14:06:02.678+0530,547
OP-11208,2022-01-11T10:35:43.624+0530,214
OP-11018,2021-12-22T08:47:56.322+0530,696
OP-10937,2021-12-28T16:55:57.872+0530,544
OP-10910,2021-12-27T09:06:25.471+0530,576
OP-10908,2021-12-23T08:54:09.242+0530,672
OP-10906,2021-12-22T08:48:16.966+0530,696
OP-10883,2021-12-22T08:48:29.376+0530,696
OP-10840,2022-01-11T09:54:36.216+0530,215
OP-10839,2021-12-27T09:54:05.028+0530,575
OP-10838,2021-12-17T13:04:55.483+0530,812
OP-10837,2021-12-17T13:04:50.740+0530,812
OP-10836,2021-12-27T12:18:55.298+0530,572
OP-10835,2021-12-17T17:11:42.070+0530,808
OP-10689,2021-12-28T08:57:44.359+0530,552
OP-10688,2022-01-18T17:47:28.260+0530,39
OP-10622,2022-01-18T17:47:24.965+0530,39
OP-11829,2022-01-19T18:34:04.813+0530,14
OP-11650,2022-01-19T17:47:12.241+0530,15
OP-11025,2021-12-22T09:34:55.588+0530,695
OP-10977,2021-12-30T09:54:47.673+0530,503
OP-10976,2021-12-30T09:54:49.990+0530,503
OP-10975,2021-12-30T09:54:51.785+0530,503
OP-10974,2021-12-30T09:54:53.877+0530,503
OP-10973,2021-12-30T09:54:55.833+0530,503
OP-10972,2021-12-30T09:55:00.003+0530,503
OP-10971,2021-12-30T09:55:02.580+0530,503
OP-10970,2021-12-22T09:24:11.822+0530,695
OP-10969,2021-12-30T10:16:29.160+0530,502
OP-10964,2022-01-19T18:03:36.339+0530,15
OP-10844,2022-01-19T16:10:38.469+0530,17
OP-10843,2022-01-10T10:48:43.492+0530,238
