IssueType,Priority,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,Highest,2,12,9,0,0,1
Epic,High,5,18,16,0,0,1
Epic,Medium,2,5,14,0,0,3
Epic,Low,0,0,0,0,0,0
Epic,Lowest,0,0,0,0,0,0
Story,Highest,2,2,21,0,0,2
Story,High,10,8,168,0,0,19
Story,Medium,29,18,63,0,0,8
Story,Low,0,2,4,0,0,0
Story,Lowest,0,1,4,0,0,0
Task,Highest,5,1,12,0,0,6
Task,High,8,9,58,0,0,18
Task,Medium,11,12,39,5,0,64
Task,Low,0,0,0,0,0,1
Task,Lowest,0,0,0,0,0,0
Sub-task,Highest,0,0,1,0,0,0
Sub-task,High,3,2,5,0,0,0
Sub-task,Medium,9,45,29,3,0,145
Sub-task,Low,0,0,2,0,0,0
Sub-task,Lowest,0,0,0,0,0,0
Bug,Highest,23,8,48,0,0,25
Bug,High,78,20,90,2,0,59
Bug,Medium,30,2,33,1,0,18
Bug,Low,3,0,0,0,0,0
Bug,Lowest,0,0,0,0,0,0
Test,Highest,0,0,0,0,0,0
Test,High,0,0,0,0,0,0
Test,Medium,2,0,0,0,0,0
Test,Low,0,0,0,0,0,0
Test,Lowest,0,0,0,0,0,0
