JobName,BuildName,BuildId,BuildNum,BuildTimeStamp,BuildResult,BuildEstimateDuration,BuildDuration
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #50,50,50,1642588363271,SUCCESS,536704,767302
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #49,49,49,1642501827529,SUCCESS,536704,511517
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #48,48,48,1642491864664,ABORTED,536704,9858
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #47,47,47,1642479326843,SUCCESS,536704,331294
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #46,46,46,1642479271899,FAILURE,536704,25820
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #45,45,45,1642479113825,ABORTED,536704,142699
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #44,44,44,1642421752282,FAILURE,536704,3540
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #43,43,43,1642420687107,FAILURE,536704,698
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #42,42,42,1642415560607,FAILURE,536704,1285
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #41,41,41,1642156331919,SUCCESS,536704,259323
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #40,40,40,1642071793948,SUCCESS,536704,251069
Dev-AonA-OES-UI-Build,Dev-AonA-OES-UI-Build #39,39,39,1642069828126,SUCCESS,536704,309763
Dev-audit-client-build-branch,Dev-audit-client-build-branch #417,417,417,1642588658415,SUCCESS,118785,159572
Dev-audit-client-build-branch,Dev-audit-client-build-branch #416,416,416,1642588534746,SUCCESS,118785,69313
Dev-audit-client-build-branch,Dev-audit-client-build-branch #415,415,415,1642588405975,SUCCESS,118785,127469
Dev-audit-client-build-branch,Dev-audit-client-build-branch #414,414,414,1642587375759,SUCCESS,118785,45629
Dev-audit-client-build-branch,Dev-audit-client-build-branch #413,413,413,1642572175511,SUCCESS,118785,34449
Dev-audit-client-build-branch,Dev-audit-client-build-branch #412,412,412,1642571564927,SUCCESS,118785,33597
Dev-audit-client-build-branch,Dev-audit-client-build-branch #411,411,411,1642571358347,FAILURE,118785,6062
Dev-audit-client-build-branch,Dev-audit-client-build-branch #410,410,410,1642571194857,SUCCESS,118785,99125
Dev-audit-client-build-branch,Dev-audit-client-build-branch #409,409,409,1642571107108,SUCCESS,118785,34572
