RuleID,Description,Count
typescript:S1854,Unused assignments should be removed,6
typescript:S1121,Assignments should not be made from within sub-expressions,6
typescript:S125,Sections of code should not be commented out,4
typescript:S1186,Functions should not be empty,2
typescript:S1128,Unnecessary imports should be removed,2
css:S4667,CSS files should not be empty,1
Web:AvoidCommentedOutCodeCheck,Sections of code should not be commented out,1
typescript:S4138,"for of" should be used with Iterables,1
typescript:S1488,Local variables should not be declared and then immediately returned or thrown,1
typescript:S1117,Variables should not be shadowed,1
