repoName, OpenPRCount, MergedPRCount, ClosedPRCount, ForcefullyClosedPR, CommitsInOpenPRs, CommitsInMergedPRs, CommitsInClosedPRs, CommitsInForcefullyClosedPRs, NumberofJiraIDs, NumberOfFilesChanged, NumberOfLinesChanged, NumberOfLinesAdded, NumberOfLinesDeleted, NumberOfContributors
Analytics, 5, 8, 24, 16, 13, 81, 127, 46, 14, 524, 16193, 11086, 5107, 5
oes-ui, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
oes-api, 0, 12, 13, 1, 0, 12, 12, 0, 9, 19, 170, 107, 63, 3
oes-test, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
audit-client-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gate, 2, 7, 7, 0, 3, 12, 12, 0, 6, 19, 129, 86, 43, 5
platform-service, 1, 15, 16, 1, 1, 23, 29, 6, 12, 90, 1536, 1363, 173, 5
visibility-service, 0, 2, 3, 1, 0, 3, 6, 3, 2, 19, 111, 79, 32, 3
dashboard-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
audit-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
