IssueType,Priority,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,Highest,1,0,0,0,0,0
Epic,High,1,0,0,0,0,0
Epic,Medium,0,1,0,0,0,0
Epic,Low,0,0,0,0,0,0
Epic,Lowest,0,0,0,0,0,0
Story,Highest,0,2,0,0,0,0
Story,High,1,2,0,0,0,2
Story,Medium,4,6,1,0,0,6
Story,Low,0,0,0,0,0,0
Story,Lowest,0,0,0,0,0,0
Task,Highest,0,1,0,0,0,0
Task,High,0,1,0,0,0,2
Task,Medium,1,3,4,0,0,5
Task,Low,0,0,0,0,0,0
Task,Lowest,0,0,0,0,0,0
Sub-task,Highest,0,0,0,0,0,0
Sub-task,High,2,2,3,1,0,0
Sub-task,Medium,104,13,22,0,0,37
Sub-task,Low,0,0,0,0,0,0
Sub-task,Lowest,0,0,0,0,0,0
Bug,Highest,1,0,2,0,0,2
Bug,High,10,0,5,1,0,3
Bug,Medium,2,1,2,0,0,0
Bug,Low,1,0,0,0,0,0
Bug,Lowest,0,0,0,0,0,0
Test,Highest,0,0,0,0,0,0
Test,High,0,0,0,0,0,0
Test,Medium,5,6,0,0,0,0
Test,Low,0,0,0,0,0,0
Test,Lowest,0,0,0,0,0,0
