IssueType,Priority,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,Highest,2,11,2,0,0,0
Epic,High,7,16,2,0,0,0
Epic,Medium,4,2,2,0,0,1
Epic,Low,0,0,0,0,0,0
Epic,Lowest,0,0,0,0,0,0
Story,Highest,1,9,1,0,0,13
Story,High,5,15,56,0,0,37
Story,Medium,15,7,5,1,0,44
Story,Low,7,2,0,0,0,2
Story,Lowest,5,2,0,0,0,2
Task,Highest,4,1,6,0,0,15
Task,High,6,9,17,0,0,85
Task,Medium,7,6,26,0,0,113
Task,Low,0,0,0,0,0,1
Task,Lowest,0,0,0,0,0,0
Sub-task,Highest,0,0,0,0,0,11
Sub-task,High,0,1,1,1,0,28
Sub-task,Medium,52,15,43,2,0,192
Sub-task,Low,0,0,0,0,0,1
Sub-task,Lowest,0,0,0,0,0,1
Bug,Highest,5,5,19,0,0,148
Bug,High,23,7,40,0,0,425
Bug,Medium,9,0,15,1,0,75
Bug,Low,0,0,0,0,0,2
Bug,Lowest,0,0,0,0,0,2
Test,Highest,0,0,0,0,0,0
Test,High,0,0,0,0,0,0
Test,Medium,0,0,0,0,0,0
Test,Low,0,0,0,0,0,0
Test,Lowest,0,0,0,0,0,0
