CommitID, Committer, FilesChanged, LinesChanges, LinesAdded, LinesDeleted
076589c750b21ac0c5bb1949ecb99a7d457e9796, Pranav-b-7, 4, 45, 8, 37
168218225bb1ae79d9c817e15278f466fa1cc946, Pranav-b-7, 2, 42, 10, 32
1ea49883d0000063630d623e7e91da9ba097b2f4, yugaa22, 7, 193, 193, 0
1fff4db2aba50b2e4e1b567cb6fca2a33b176c75, ramya, 1, 13, 7, 6
2836fa28e7a9bde792a5591238f83b5e990a159d, Pranav-b-7, 2, 26, 15, 11
2de5b3672017bc5d5822f9eeb66daf0bfb60600e, ramya, 6, 108, 63, 45
371084e20bc295a58a10cb2068faafefd9f80d62, Pranav-b-7, 5, 40, 34, 6
3e21c4093c6beb10f95df05d0a0d721e3483677f, Pranav-b-7, 3, 36, 36, 0
4439035b7c6d4f854dd094309a2989f2b099a4b3, sriharshakancharla, 1, 2, 1, 1
46e58dedf73cdf7a92590b12a50466a92c3ac9c5, Pranav-b-7, 5, 39, 38, 1
4e88be3defe84bc535ef165de188c39d302d769a, Pranav-b-7, 5, 69, 68, 1
51eb938fe60b2ed5a1765a0c7af619c53c361a07, ramya, 3, 18, 18, 0
52f0cf7ffc1d407211a2ab7cead7542cd069785d, ramya, 15, 253, 225, 28
635f6dc39bd68d321bb560be0de52a789b31e5a6, Pranav-b-7, 1, 2, 1, 1
6b0ed0f6e739bf05f5066160670b7b5a1b9179e4, ramya, 2, 16, 11, 5
6cbf0f1592b09d4f697f45b56ab53bb8ebfd72e5, yugaa22, 2, 25, 15, 10
76eede8632bc904867d9091f6f248729e323b418, sriharshakancharla, 1, 11, 6, 5
773c97ea21d45dbf0e1aa8da6230f1df98691883, Pranav-b-7, 1, 5, 1, 4
88a5b19812a91934d51003d3b04ef9c7d6fa5a36, Pranav-b-7, 14, 243, 237, 6
8f4df253fad7bc28043b690532ada542375dbb79, ramya, 7, 68, 64, 4
983964a0771c7963146bb2df4ac53652c3635132, ramya, 13, 206, 200, 6
9b0dfa82e011830b0280800f8de56918d3e01c62, yugaa22, 4, 148, 97, 51
9b4302f81f21b205f4167035977e101b0dbe1832, Pranav-b-7, 1, 2, 2, 0
9d705cca9093ca355d53aa084fb4eb07f27a44f8, Pranav-b-7, 3, 14, 13, 1
9f6f0d8dba454246638ce163607480e23f682684, ramya, 12, 165, 159, 6
a142e5300ca8d5994afea349dd7816cf2d40b926, Pranav-b-7, 1, 3, 1, 2
a50b92c6c4336f6f5a3d4b77d7115890a203b913, ramya, 9, 215, 137, 78
a96a54fe3791aac6c2fb4ca1c304e8fba3355e2e, ramya, 5, 52, 51, 1
b26e76cb043604ce37e5cec227b6d97c69e2227b, Pranav-b-7, 1, 5, 1, 4
b93a0231d734fa1948c76baa0d074be1ff22ea53, ramya, 3, 3, 0, 3
ba575b62ac75c4c0ead52d58fe35e2d3e96293f2, ramya, 7, 193, 193, 0
c94bfca001fa49d8e06d470fab0d6c5ce6c3d879, ramya, 15, 372, 341, 31
ca94c0bc5437ac35f81588a1c8f950a92d722baf, ramya, 14, 309, 309, 0
ce3aedfb0f13bea86d46eb7b38c6e7c2c9637d8a, yugaa22, 3, 18, 18, 0
d3a90a6202750809e21201bf9ab1915ee92d96eb, ramya, 13, 355, 197, 158
db58eea703ff3dca9b0986a1e975934aa6e7df18, ramya, 6, 95, 84, 11
e1157cf8b0d61344ba920b139951513b1bebdb3d, ramya, 10, 143, 52, 91
f07ba3b9576dea0f1cfa583f8634fe653c182544, ramya, 1, 4, 2, 2
f3f8f2c1abff31a435d86e10459588bcd12d2513, ramya, 2, 36, 17, 19
