IssueKey,Summary
OP-11209,"Code Review - For ldap added username and password as configurations"
OP-11180,"desk check"
OP-11246,"code review - extend session when user doing some activity on UI"
OP-11232,"Test all the use cases and make sure there are breaks in the functionality"
OP-11177,"Bring up an instance with OES v3.9.1.2 release code - both OES + Spinnaker should be installed"
OP-11178,"Change the authentication type from LDAP to SAML"
OP-11204,"helptText - service file update - Agent, Spinnaker setup, Cloud Provider"
OP-11205,"Code Review - Agent, Spinnaker setup and Cloud Provider"
OP-11128,"Create Spinnaker Account - Document The Existing Error Codes And Messages For All Create Spinnaker Account Endpoints"
OP-11129,"Delete Spinnaker Account - Document The Existing Error Codes And Messages For All Delete Spinnaker Account Endpoints"
OP-11130,"Edit Spinnaker Account - Document The Existing Error Codes And Messages For All Edit Spinnaker Account Endpoints"
OP-11179,"Debugging and inspecting to understand flow of RegisterCanary, LogProvidersTrigger"
OP-11120,"Master--Get all datasource api is giving 500 error"
OP-11139,"Get ready the oes-release ns with latest master images and with required resource limits for each OES service"
OP-11175,"Cloud Providers - Document The Existing Error Codes And Messages For All Cloud Providers Endpoints."
OP-11187,"Audit - Pipeline execution - Pipeline execution events are failing in Audit-Service"
OP-11189,"24Dec2021--AonA Issues"
OP-11190,"ERROR Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is com.opsmx.analytics.exceptions.NullInputFoundException: Application name is null]"
OP-11191,"WARN Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'java.lang.In"
OP-11192,"WARN Failure in @ExceptionHandler com.opsmx.spinnaker.gate.exception.RetrofitErrorHandler#handleRetrofitError(RetrofitError) java.lang.RuntimeException: retrofit.converter.Co"
OP-11193,"ERROR Servlet.service() for servlet [dispatcherServlet] in context with path []with root cause java.net.UnknownHostException: graylog.opsmx.net"
OP-11194,"INFO fetch all groups import and cache com.fasterxml.jackson.core.Json ParseException: Unexpected character ('<' (code 60)): expected a valid value (JSON String, Number, Array,"
OP-11195,"ERROR Approval Gate Id :[3] is not configured for Tool Connector Type-"
OP-11196,"Create Postgresql Database and Using CRUD Operation"
OP-11197,"Learning of Spring boot with postgres initial setup"
OP-11237,"Create Postgresql Database and Using CRUD Operation"
OP-11258,"Create Spring Boot Application Connect with Postgresql and working on API"
