IssueType,Priority,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,Highest,0,0,0,0,0,0
Epic,High,0,3,0,0,0,0
Epic,Medium,1,1,0,0,0,0
Epic,Low,0,0,0,0,0,0
Epic,Lowest,0,0,0,0,0,0
Story,Highest,1,1,0,0,0,0
Story,High,1,5,1,0,0,3
Story,Medium,6,3,1,0,0,4
Story,Low,0,0,0,0,0,0
Story,Lowest,0,0,0,0,0,0
Task,Highest,0,0,0,0,0,0
Task,High,0,1,0,0,0,4
Task,Medium,2,1,0,0,0,3
Task,Low,0,0,0,0,0,0
Task,Lowest,0,0,0,0,0,0
Sub-task,Highest,2,0,0,0,0,0
Sub-task,High,4,4,0,0,0,10
Sub-task,Medium,19,5,2,2,0,31
Sub-task,Low,0,0,0,0,0,0
Sub-task,Lowest,0,0,0,0,0,0
Bug,Highest,1,1,0,0,0,3
Bug,High,8,1,0,0,0,12
Bug,Medium,2,0,3,0,0,2
Bug,Low,0,0,0,0,0,0
Bug,Lowest,0,0,0,0,0,0
Test,Highest,0,0,0,0,0,0
Test,High,0,0,0,0,0,0
Test,Medium,0,0,0,0,0,0
Test,Low,0,0,0,0,0,0
Test,Lowest,0,0,0,0,0,0
