IssueType,Priority,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,Highest,4,10,5,0,0,3
Epic,High,9,16,6,0,0,3
Epic,Medium,2,5,5,0,0,0
Epic,Low,0,0,0,0,0,0
Epic,Lowest,0,0,0,0,0,0
Story,Highest,1,10,3,1,0,1
Story,High,7,15,102,1,0,13
Story,Medium,17,19,14,0,0,9
Story,Low,3,2,0,2,0,3
Story,Lowest,2,2,0,2,0,2
Task,Highest,6,1,5,0,0,4
Task,High,9,9,23,0,0,14
Task,Medium,7,10,11,1,0,40
Task,Low,0,0,0,0,0,1
Task,Lowest,0,0,0,0,0,0
Sub-task,Highest,0,0,0,0,0,2
Sub-task,High,1,0,6,0,0,43
Sub-task,Medium,176,20,64,3,0,194
Sub-task,Low,1,0,0,0,0,0
Sub-task,Lowest,0,0,0,0,0,0
Bug,Highest,14,0,23,0,0,17
Bug,High,49,4,43,2,0,36
Bug,Medium,17,0,25,0,0,17
Bug,Low,2,0,0,0,0,0
Bug,Lowest,0,0,0,0,0,0
Test,Highest,0,0,0,0,0,0
Test,High,0,0,0,0,0,0
Test,Medium,0,0,0,0,0,7
Test,Low,0,0,0,0,0,0
Test,Lowest,0,0,0,0,0,0
