CommitID, Committer, FilesChanged, LinesChanges, LinesAdded, LinesDeleted
234246236e09991efc9ef920328afb16459fca88, SheetalAtre, 1, 2, 1, 1
2ce0bb20291f59eaf6c300759d9d3d5644367c41, TejaswiniOpsmx, 1, 48, 24, 24
39970e3885203a8d545e4b40bde67b881d613609, TejaswiniOpsmx, 3, 10, 5, 5
42101d74e8286137c55336ae774f96c12e63655b, TejaswiniOpsmx, 1, 17, 9, 8
4f93591a7466f8950b7ffd2532cc07fb1ef77e93, TejaswiniOpsmx, 3, 14, 7, 7
578189c5bc7ac901f82fc0e391165ab16d164995, TejaswiniOpsmx, 1, 54, 28, 26
c7c0f3fbfb01221f7522f5b9d8e07f85d14f2a38, SheetalAtre, 1, 2, 1, 1
cbadaed96dcc9c2f62b2bd9ece155cf892f13f27, SheetalAtre, 1, 2, 1, 1
cdbcb2757aa5cf820e2f111d79271c2445ce508a, SheetalAtre, 1, 17, 9, 8
d6e12b79499b00037d6a23ef8818cdcb7348a211, SheetalAtre, 1, 6, 2, 4
