CommitID, Committer, FilesChanged, LinesChanges, LinesAdded, LinesDeleted
065a0591b763e0322c9644b2305450ffe95bcc70, arunkumaropsmx, 1, 1, 1, 0
18007e62caea5951169f107b500c6f1fc9b94c49, arunkumaropsmx, 1, 16, 15, 1
3f877fd97e19b1e3041cd0af934f3bc7ba47cf43, sudhakaropsmx, 1, 2, 1, 1
9a5119d8ab40f2d890202323a3610f26f761050a, sudhakaropsmx, 5, 396, 396, 0
b320d97405525314ed6669f7449be74977533b29, sriharshakancharla, 1, 5, 0, 5
b9e5702c2640401ac9be0ecc5f1172d3fd5534f8, Pranav-b-7, 2, 102, 87, 15
bdd26195cb89b6104cd42eff5d3b7a7b4a51f586, Pranav-b-7, 4, 161, 133, 28
c9f2d755f0820a8d05c16c499be507c8d8b62f27, yugaa22, 1, 4, 2, 2
cd282db13f5aba7e32e5a1b08496384dd563627b, Pranav-b-7, 1, 16, 8, 8
cf26a6f80db91a414e41af87da96d74b2713604b, sudhakaropsmx, 1, 2, 1, 1
d1e3d83afd67bbce270f22e671155669904fd839, sriharshakancharla, 2, 23, 23, 0
df8fa3e9adc52229e04b5a0d0473552d929d77b1, sudhakaropsmx, 4, 540, 526, 14
ea4227e648ee4374c678383a2dd89943cf3cb64f, Pranav-b-7, 4, 161, 133, 28
