repoName, OpenPRCount, MergedPRCount, ClosedPRCount, ForcefullyClosedPR, CommitsInOpenPRs, CommitsInMergedPRs, CommitsInClosedPRs, CommitsInForcefullyClosedPRs, NumberofJiraIDs, NumberOfFilesChanged, NumberOfLinesChanged, NumberOfLinesAdded, NumberOfLinesDeleted, NumberOfContributors
Analytics, 5, 1, 3, 2, 6, 10, 12, 2, 5, 33, 261, 165, 96, 4
oes-ui, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
oes-api, 7, 10, 11, 1, 7, 13, 43, 30, 11, 125, 4457, 3310, 1147, 7
oes-test, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
audit-client-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gate, 1, 2, 2, 0, 1, 6, 6, 0, 3, 14, 626, 566, 60, 3
platform-service, 5, 12, 12, 0, 5, 17, 17, 0, 13, 49, 1728, 885, 843, 8
visibility-service, 3, 1, 1, 0, 4, 1, 1, 0, 3, 6, 39, 37, 2, 3
dashboard-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
audit-service, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
