IssueType,Priority,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,Highest,0,0,0,0,0,0
Epic,High,0,0,0,0,0,0
Epic,Medium,0,0,0,0,0,0
Epic,Low,0,0,0,0,0,0
Epic,Lowest,0,0,0,0,0,0
Story,Highest,0,0,0,0,0,0
Story,High,1,0,1,0,0,0
Story,Medium,1,4,1,0,0,0
Story,Low,0,0,0,0,0,0
Story,Lowest,0,0,0,0,0,0
Task,Highest,0,0,0,0,0,0
Task,High,0,0,2,0,0,0
Task,Medium,17,4,0,0,0,4
Task,Low,0,0,0,0,0,0
Task,Lowest,0,0,0,0,0,0
Sub-task,Highest,0,0,0,0,0,0
Sub-task,High,0,0,0,0,0,1
Sub-task,Medium,1,3,1,0,0,9
Sub-task,Low,0,0,0,0,0,0
Sub-task,Lowest,0,0,0,0,0,0
Bug,Highest,4,0,1,0,0,1
Bug,High,7,1,3,0,0,4
Bug,Medium,1,0,0,0,0,0
Bug,Low,0,0,0,0,0,0
Bug,Lowest,0,0,0,0,0,0
Test,Highest,0,0,0,0,0,0
Test,High,0,0,0,0,0,0
Test,Medium,2,0,0,0,0,0
Test,Low,0,0,0,0,0,0
Test,Lowest,0,0,0,0,0,0
