CommitID, Committer, FilesChanged, LinesChanges, LinesAdded, LinesDeleted
116c6b2d4a529a5ea0cd7eb4d7d722ada244ba65, Lingaselvan Palanichamy, 1, 2, 1, 1
234246236e09991efc9ef920328afb16459fca88, SheetalAtre, 1, 2, 1, 1
2ce0bb20291f59eaf6c300759d9d3d5644367c41, TejaswiniOpsmx, 1, 48, 24, 24
3c3729d6f06d662e619689475791661bb3b4f2ca, TejaswiniOpsmx, 7, 196, 115, 81
487f54e265deb2842ae86efe608146d187a0c557, SheetalAtre, 1, 19, 7, 12
5591d178ecdc234438c5ca5759490af233f1ecc3, Lingaselvan Palanichamy, 1, 2, 1, 1
578189c5bc7ac901f82fc0e391165ab16d164995, TejaswiniOpsmx, 1, 54, 28, 26
5fc1dc3da5e0a3855b8de28b3b99703e71e32e32, SheetalAtre, 1, 22, 10, 12
6330d14fc093a277dc2688280dbf3f7a0b5a08fc, SheetalAtre, 1, 2, 1, 1
86cddcbdaa2b8dee458c5423cfbcee6625348b3c, TejaswiniOpsmx, 4, 79, 30, 49
aaa5a6314965055399d447e7be1a31a9cee9cba8, SheetalAtre, 1, 7, 7, 0
ac77ba0d8824b8bbdd9336f84e73689369ae6957, Lingaselvan Palanichamy, 1, 6, 3, 3
cbadaed96dcc9c2f62b2bd9ece155cf892f13f27, SheetalAtre, 1, 2, 1, 1
d0bbc1421ab3564d37aa9b9145c4c8a95eaa4553, yugaa22, 1, 13, 11, 2
d58d7b0bcd256b11b0d35381786ee199044d6579, OpsMx, 1, 13, 11, 2
d6e12b79499b00037d6a23ef8818cdcb7348a211, SheetalAtre, 1, 6, 2, 4
ece04c3316b21a9d52ec4f57612a7039c0cd7fb3, SheetalAtre, 4, 79, 30, 49
fe20024baf5c88a04ae403ffbf5909aae386a1a3, OpsMx, 7, 196, 115, 81
