CommitID, Committer, FilesChanged, LinesChanges, LinesAdded, LinesDeleted
01a867dc0723fd9d41d2b1b5347ed04a39160028, arunkumaropsmx, 1, 16, 8, 8
0b413dd9470a705488c7b50c8eb2c42615a7b18a, arunkumaropsmx, 2, 118, 67, 51
0db270a53ebdbd260e5e7a1f0de7f58c4ef60fc5, arunkumaropsmx, 1, 9, 6, 3
1645d3fbf8ddf4018962c64e9f44122db928035c, arunkumaropsmx, 3, 30, 30, 0
1729ff8039ea26f1a5f95e0f8cd4ef578f08d07c, arunkumaropsmx, 1, 9, 6, 3
223a1ffdc0d2a21b454600952a79387860a1d193, arunkumaropsmx, 1, 26, 17, 9
275afc7dcdaeffc73658028c5b324820affc8443, SheetalAtre, 1, 6, 3, 3
2bc2e0c7e19106a753fb141f2e84f41881f45a98, yugaa22, 1, 1, 1, 0
31c0bcfeb7a50f59a3f1568e92c90c6d9523741c, yugaa22, 1, 9, 6, 3
347d0b4d37f6b0b11b4552d5c819dfdb414a10c6, yugaa22, 1, 26, 17, 9
34b39049d8fafd800989d52f602c00342d79af3d, yugaa22, 1, 5, 4, 1
36073f139560d330a2297ff5d2c194c13a9b47f6, yugaa22, 2, 14, 7, 7
36cadbde2b8a8cd7aef0cd89417cc2cfeb0a01ff, yugaa22, 9, 512, 467, 45
3e60f544a7a50f8acbbc73b8ba61e861139fb266, yugaa22, 1, 4, 4, 0
47ca59cbd9f9058dd018faf98cfc93bca2986c4e, arunkumaropsmx, 4, 39, 33, 6
734ab9ec98815f393d31c42f794c1226b6a23193, yugaa22, 1, 2, 1, 1
7529abe99df475457376b07072cb9c9fbaea12d1, yugaa22, 1, 1, 0, 1
75cb625eee239af9ff2813598258895ab230dffe, yugaa22, 1, 3, 3, 0
997c7132d6ddc78c7a3bd43685e6808e61077e2d, arunkumaropsmx, 2, 14, 7, 7
a54eb9c9f2f0be197f39a0da6bba8a0b86f2cbdd, arunkumaropsmx, 1, 5, 4, 1
b289740dcf198f763b391b690dc000677b030e37, Pranav-b-7, 4, 159, 132, 27
bb7a826d8bbb4470261520d0835d407b93c6998f, arunkumaropsmx, 1, 4, 4, 0
c7fc4b60c09bf0a644fe499c1cb9da3b1d11935c, arunkumaropsmx, 1, 9, 6, 3
c9d1ac2cfd5a35954b2171e2649ac70b5aa2eb72, arunkumaropsmx, 1, 1, 0, 1
d12e6297ab9e60661c52fd28aca012282dae8d66, arunkumaropsmx, 3, 122, 53, 69
d13b20ba9362cb32eb146588c083c23555f25071, arunkumaropsmx, 1, 2, 1, 1
d9a24ec4a404e1dce413c4c795c56f5b2deca896, sudhakaropsmx, 2, 10, 5, 5
de6b0da7bbf5dd83330ffc750b70bb66fec11491, yugaa22, 4, 125, 123, 2
edef53316645a3244815389715c19aa0903c5710, arunkumaropsmx, 4, 125, 123, 2
f0d3ee1c98677d8cef2bb184473bede136aa8d65, arunkumaropsmx, 1, 3, 3, 0
f4feea17d1f17d027414e085b5fafcd65b0ab182, arunkumaropsmx, 1, 1, 1, 0
