CommitID, Committer, FilesChanged, LinesChanges, LinesAdded, LinesDeleted
02884a08c89bd3e1a14635d5ed6703ae05db5253, yugaa22, 1, 8, 4, 4
11d1efc3f512f82b082018db7c16560456e78ded, ramya, 12, 239, 177, 62
1720a9d8302d7bce1040e7e9fa4f323a666471c6, ramya, 5, 88, 55, 33
1e812daa87f29ff27e3791e5ab365b21164a4792, rahul-chekuri, 11, 194, 194, 0
28b305d085148fe2f27d0093644a1ecb9d6e88b3, ramya, 10, 243, 236, 7
39abaae31f5bdcbde73233a84fb25a6df5157259, ramya, 7, 79, 46, 33
3e82159ff0d504e6c5a34e6803879023ea581e65, sriharshakancharla, 3, 87, 87, 0
44188d1516cd6f6fc15661b61be9407bbbd4b504, ramya, 7, 84, 68, 16
4795debff2a209f6f69e405299bdccc4e7a8bb94, rahul-chekuri, 3, 60, 31, 29
4bc515a193107e05d71b6385ba1022207dffa0a2, ramya, 1, 11, 8, 3
5c468a6cc529a20ac0245bc8c87c071fb4439912, Pranav-b-7, 6, 336, 193, 143
62482a881313d4edebf80a9bc456128f6c535d88, ramya, 10, 368, 230, 138
65566b5d67c238f5cfd2789f07fde33bf579a6ae, rahul-chekuri, 1, 4, 2, 2
68287f920668d73005dbab5cd985932524476cf2, sriharshakancharla, 7, 186, 171, 15
7cea5e8f646ce305d4b7011aefb79ca79fa2bb8e, ramya, 1, 12, 8, 4
7e40879adb3330c8d111f42a58254185e7dcb44a, rahul-chekuri, 1, 5, 1, 4
7fc92a67a7a2695fe493d30c08da7d3d19857086, ramya, 3, 5, 4, 1
8b1b470aeb28152fc84ed27a5c071594d59622b3, ramya, 4, 52, 52, 0
91edefbe33de39e13cf44b4a7a5e96e6d78d3331, ramya, 6, 90, 70, 20
94d3c44854a6e2eb3ae82cfa029e1713188852fd, rahul-chekuri, 4, 24, 20, 4
98bf9be7623e4267363729ea6d5de2bc79193eb9, ramya, 3, 5, 4, 1
9a8467167234f7569fac4ba170c0c55582589b39, rahul-chekuri, 7, 103, 97, 6
9b0a233a462ab0ea123aeb0a590ea2d5aabbd0a0, sriharshakancharla, 3, 54, 50, 4
a3856aafd9ced1802a5316fed19f3de01a5482ee, SheetalAtre, 7, 0, 0, 0
b3c446e350aa80a8f998876e8f610b0d6298728e, sriharshakancharla, 3, 47, 44, 3
bc841486ef4084d9ae53be22ede64ca47befad36, ramya, 4, 37, 28, 9
bf1446e03b9838d52b15a045f2b00a989cdaecda, ramya, 9, 95, 74, 21
c7bf446fdf883470b014efe2ade41dba28a435cc, ramya, 2, 4, 2, 2
c9ee86d64daecdfc7cf323a20c42dfc2e37289ff, ramya, 1, 2, 1, 1
cd5a303344d5a4e59351f279aa3aa26f88e21cb1, ramya, 18, 384, 305, 79
cf909a8c1ca48eeabe7e609aa4d9833c69f76410, ramya, 4, 33, 15, 18
d34287e92d3eb45c63db3a414ab887807f48993b, ramya, 4, 72, 23, 49
d4fb97a31a2e821408fb67a5bf7f3e749bc27ed0, ramya, 1, 18, 12, 6
de514768ccc62adaade81244aafd095d9a51f898, ramya, 1, 2, 1, 1
e243d61276fd8eaeff5724e63e88b109ccb444fe, rahul-chekuri, 8, 186, 123, 63
ea1409f8e3f240028011fb49b4bccc83acf40f26, ramya, 3, 54, 50, 4
ecdfd977567c0c7658ca5681cdf129dbb7b4b766, ramya, 9, 240, 233, 7
