JobName,NumberOfBuilds,Successful,Failed,Aborted
Dev-aks-application-restore-from-backup,0,0,0,0
Dev-analysis-test,0,0,0,0
Dev-AonA-OES-UI-Build,5,5,0,0
Dev-apijar-testresult-master-stats,0,0,0,0
Dev-apijar-testresult-stats,0,0,0,0
Dev-application-redis-minio-oesdb-restore-from-GitHub-Job1,0,0,0,0
Dev-application-redis-minio-oesdb-restore-from-GitHub-Job2,0,0,0,0
Dev-application-redis-minio-restore,0,0,0,0
Dev-Approval-test,0,0,0,0
Dev-arraytest,0,0,0,0
Dev-audit-client-build-branch,16,14,2,0
Dev-Audit-client-publish-image,0,0,0,0
Dev-auditservice-build-branch,16,14,2,0
Dev-audit-service-jpa,30,24,6,0
Dev-AuditService-publish-image,0,0,0,0
Dev-autopilot-11-build-branch,0,0,0,0
Dev-AutoPilot-Baselinebuild,0,0,0,0
Dev-autopilot-build-branch-ds-ms,16,15,1,0
Dev-AutoPilot-Canarybuild,0,0,0,0
Dev-Autopilot-Sonar,6,3,3,0
Dev-Autopilot_Test-AonA,0,0,0,0
Dev-Autopilot_Test_PR_New,18,18,0,0
Dev-aws-scale-cluster,0,0,0,0
Dev-Azure-reports-generation,4,4,0,0
Dev-Baseline-Canary-Logs,0,0,0,0
Dev-build-analytics-master,14,13,0,1
Dev-build-auditclient-master,7,5,1,1
Dev-build-auditservice-master,7,5,2,0
Dev-build-commongate-branch,46,42,4,0
Dev-build-commongate-master,8,7,0,1
Dev-build-dashboard-master,11,10,0,1
Dev-build-datascience-master,13,13,0,0
Dev-build-oes-api-master,11,10,0,1
Dev-build-platform-master,17,10,6,1
Dev-build-visibility-master,7,6,0,1
Dev-config-data-bkp,6,4,1,1
Dev-create-GCP-cluster,0,0,0,0
Dev-Custom-plugin-build-release,0,0,0,0
Dev-custom-plugin-release,0,0,0,0
Dev-custom-resize-gcp-cluster,0,0,0,0
Dev-custom-stop-cluster,3,3,0,0
Dev-dashboardservice-build-branch,8,8,0,0
Dev-dashboardservice-build-branch-vault,17,17,0,0
Dev-datascience-publish-image,0,0,0,0
Dev-DATASCIENCE_TEST_PR,21,21,0,0
Dev-Datasource-plugin-api,0,0,0,0
Dev-deallocate-albertson,6,0,6,0
Dev-deallocate-production-spin,0,0,0,0
Dev-Delete-Evicted-pods,0,0,0,0
Dev-demo,0,0,0,0
Dev-Deploy_Cloud,0,0,0,0
Dev-docker-pipeline,0,0,0,0
Dev-Do-Nothing,0,0,0,0
Dev-dora-build-push,4,3,1,0
Dev-dora-issuegen,0,0,0,0
Dev-ds-build-branch-ds-ms,16,16,0,0
Dev-echo-image-build,4,3,1,0
Dev-Email-Report,0,0,0,0
Dev-front50-build-image,0,0,0,0
Dev-FullPOCSleuthBuild,0,0,0,0
Dev-gate-image-with-plugins,0,0,0,0
Dev-gate-job-pranav,0,0,0,0
Dev-gcp-scale-down,4,4,0,0
Dev-gcp-scale-up,2,2,0,0
Dev-get-Jira-stats,0,0,0,0
Dev-Git-Restapp,0,0,0,0
Dev-Graphiant-SaaS-Spinnaker-ISD-Backup,1,0,1,0
Dev-harbor-clean-images,0,0,0,0
Dev-harborpush-images,0,0,0,0
Dev-ibm-AonA-Stop,4,0,4,0
Dev-ibm-staging-stop,4,0,4,0
Dev-ibm-target-start,4,0,4,0
Dev-ibm-target-stop,4,0,4,0
Dev-jenkins-anlysis,0,0,0,0
Dev-JenkinsDiskClean,3,3,0,0
Dev-jenkins-Log-Metric-Anlysis,0,0,0,0
Dev-Jenkins-success-failure-stats,6,6,0,0
Dev-jenkins-trigger-pipeline,0,0,0,0
Dev-kube-roles,0,0,0,0
Dev-mail-3.0,9,5,4,0
Dev-maven,0,0,0,0
Dev-michael-autopilot-build-branch,4,3,0,1
Dev-michael-autopilot-build-tag,0,0,0,0
Dev-nexus-restapp,0,0,0,0
Dev-nightly-patterns-from-logs,0,0,0,0
Dev-OES-Dasboard-Sonar,6,3,3,0
Dev-oes-dashboard-publish-image,0,0,0,0
Dev-oes-gate-publish-image,0,0,0,0
Dev-OES-Gate-Sonar,6,3,3,0
Dev-OES-Perf-Testing-Logs,0,0,0,0
Dev-oes-platform-publish-image,0,0,0,0
Dev-OES-Platform-Sonar,6,3,3,0
Dev-oes-sapor-publish-image,0,0,0,0
Dev-OES-Sapor-Sonar,6,3,3,0
Dev-OES-Spinnaker-DBs-Reset,3,1,2,0
Dev-Oes-Test,11,9,2,0
Dev-Oes-UI-build,0,0,0,0
Dev-OES-UI-Sonar,6,3,3,0
Dev-Oes-UI-Test,0,0,0,0
Dev-oes-visibility-publish-image,0,0,0,0
Dev-OES-Visibility-Sonar,6,3,3,0
Dev-OES-Visibility-Sonar-branch,0,0,0,0
Dev-opsmxsaas-application-backup,6,3,3,0
Dev-OpsMx-SAAS-SPINNAKER-OES-Backup,7,3,4,0
Dev-orca-image-with-plugins,17,17,0,0
Dev-platformservice-build,0,0,0,0
Dev-platformservice-build-branch,15,15,0,0
Dev-platformservice-build-branch-vault,16,16,0,0
Dev-PR_dorebase,26,25,1,0
Dev-PROD-OES-UI-publish-image-UI-Versions,0,0,0,0
Dev-Production-SPINNAKER-OES-Backup,6,6,0,0
Dev-pspin-application-pipeline-restore-from-backup,0,0,0,0
Dev-RC-Audit-client-build,0,0,0,0
Dev-RC-AuditService-build,0,0,0,0
Dev-RC-autopilot-build-tag,0,0,0,0
Dev-RC-Common-Gate-publish-image,0,0,0,0
Dev-RC-dashboard-publish-image,0,0,0,0
Dev-RC-datascience-build-tag,0,0,0,0
Dev-RC-platform-publish-image,0,0,0,0
Dev-RC-sapor-publish-image,0,0,0,0
Dev-RC-ui-publish-image-UI-Versions,0,0,0,0
Dev-RC-visibility-publish-image,0,0,0,0
Dev-reports,0,0,0,0
Dev-RestApp_Build,1,0,0,1
Dev-Restapp-Build-Branch,0,0,0,0
Dev-Restapp-Build-Branch-Sonar,0,0,0,0
Dev-Restapp-GCP-Pipeline,0,0,0,0
