IssueType,Priority,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,Highest,0,0,0,0,0,0
Epic,High,0,0,0,0,0,0
Epic,Medium,0,0,0,0,0,0
Epic,Low,0,0,0,0,0,0
Epic,Lowest,0,0,0,0,0,0
Story,Highest,0,0,0,0,0,0
Story,High,1,1,0,0,0,0
Story,Medium,0,3,1,0,0,2
Story,Low,0,0,0,0,0,0
Story,Lowest,0,0,0,0,0,0
Task,Highest,3,0,0,0,0,0
Task,High,3,1,1,0,0,3
Task,Medium,1,1,0,2,0,6
Task,Low,0,0,0,0,0,0
Task,Lowest,0,0,0,0,0,0
Sub-task,Highest,1,0,0,0,0,1
Sub-task,High,1,2,0,0,0,3
Sub-task,Medium,19,11,10,2,0,22
Sub-task,Low,0,0,0,0,0,0
Sub-task,Lowest,0,0,0,0,0,0
Bug,Highest,3,0,2,0,0,1
Bug,High,10,0,2,0,0,1
Bug,Medium,2,0,0,0,0,0
Bug,Low,0,0,0,0,0,0
Bug,Lowest,0,0,0,0,0,0
Test,Highest,0,0,0,0,0,0
Test,High,0,0,0,0,0,0
Test,Medium,4,0,0,0,0,4
Test,Low,0,0,0,0,0,0
Test,Lowest,0,0,0,0,0,0
