IssueType,Priority,ToDo,InProgress,InVerification,PRRaised,Merged,Done
Epic,Highest,1,1,1,0,0,0
Epic,High,1,1,2,0,0,0
Epic,Medium,0,0,0,0,0,0
Epic,Low,0,0,0,0,0,0
Epic,Lowest,0,0,0,0,0,0
Story,Highest,0,0,0,0,0,0
Story,High,0,0,4,0,0,1
Story,Medium,0,0,0,0,0,1
Story,Low,0,0,0,0,0,0
Story,Lowest,0,0,0,0,0,0
Task,Highest,0,0,0,0,0,0
Task,High,0,0,1,0,0,0
Task,Medium,0,0,0,0,0,1
Task,Low,0,0,0,0,0,0
Task,Lowest,0,0,0,0,0,0
Sub-task,Highest,0,0,0,0,0,0
Sub-task,High,0,0,0,0,0,0
Sub-task,Medium,7,2,0,0,0,18
Sub-task,Low,0,0,0,0,0,0
Sub-task,Lowest,0,0,0,0,0,0
Bug,Highest,1,0,1,0,0,1
Bug,High,1,0,3,0,0,2
Bug,Medium,0,0,0,0,0,3
Bug,Low,0,0,0,0,0,0
Bug,Lowest,0,0,0,0,0,0
Test,Highest,0,0,0,0,0,0
Test,High,0,0,0,0,0,0
Test,Medium,0,0,0,0,0,3
Test,Low,0,0,0,0,0,0
Test,Lowest,0,0,0,0,0,0
